step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,error_balance_orig,error_balance_dest,step_sin,step_cos
1,181.0,181.0,0.0,0.0,0.0,False,False,False,False,True,0.0,-181.0,0.25881904510252074,0.9659258262890683
1,181.0,181.0,0.0,21182.0,0.0,False,True,False,False,False,0.0,-21363.0,0.25881904510252074,0.9659258262890683
1,2806.0,2806.0,0.0,0.0,0.0,False,False,False,False,True,0.0,-2806.0,0.25881904510252074,0.9659258262890683
1,2806.0,2806.0,0.0,26202.0,0.0,False,True,False,False,False,0.0,-29008.0,0.25881904510252074,0.9659258262890683
1,20128.0,20128.0,0.0,0.0,0.0,False,False,False,False,True,0.0,-20128.0,0.25881904510252074,0.9659258262890683
1,20128.0,20128.0,0.0,6268.0,12145.85,False,True,False,False,False,0.0,-14250.15,0.25881904510252074,0.9659258262890683
1,416001.33,0.0,0.0,102.0,9291619.62,False,True,False,False,False,416001.33,8875516.29,0.25881904510252074,0.9659258262890683
1,1277212.77,1277212.77,0.0,0.0,0.0,False,False,False,False,True,0.0,-1277212.77,0.25881904510252074,0.9659258262890683
1,1277212.77,1277212.77,0.0,0.0,2444985.19,False,True,False,False,False,0.0,1167772.42,0.25881904510252074,0.9659258262890683
1,35063.63,35063.63,0.0,0.0,0.0,False,False,False,False,True,0.0,-35063.63,0.25881904510252074,0.9659258262890683
1,35063.63,35063.63,0.0,31140.0,7550.03,False,True,False,False,False,0.0,-58653.6,0.25881904510252074,0.9659258262890683
1,25071.46,25071.46,0.0,0.0,0.0,False,False,False,False,True,0.0,-25071.46,0.25881904510252074,0.9659258262890683
1,25071.46,25071.46,0.0,9083.76,34155.22,False,True,False,False,False,0.0,0.0,0.25881904510252074,0.9659258262890683
1,132842.64,4499.08,0.0,0.0,132842.64,False,True,False,False,False,128343.56000000001,0.0,0.25881904510252074,0.9659258262890683
1,235238.66,235238.66,0.0,0.0,0.0,False,False,False,False,True,0.0,-235238.66,0.25881904510252074,0.9659258262890683
1,235238.66,235238.66,0.0,0.0,235238.66,False,True,False,False,False,0.0,0.0,0.25881904510252074,0.9659258262890683
2,1096187.24,1096187.24,0.0,0.0,0.0,False,False,False,False,True,0.0,-1096187.24,0.49999999999999994,0.8660254037844387
2,1096187.24,1096187.24,0.0,0.0,1096187.24,False,True,False,False,False,0.0,0.0,0.49999999999999994,0.8660254037844387
2,963532.14,963532.14,0.0,0.0,0.0,False,False,False,False,True,0.0,-963532.14,0.49999999999999994,0.8660254037844387
2,963532.14,963532.14,0.0,132382.57,1095914.71,False,True,False,False,False,0.0,-1.1641532182693481e-10,0.49999999999999994,0.8660254037844387
2,14949.84,14949.84,0.0,0.0,0.0,False,False,False,False,True,0.0,-14949.84,0.49999999999999994,0.8660254037844387
2,14949.84,14949.84,0.0,18161.79,33111.63,False,True,False,False,False,0.0,-3.637978807091713e-12,0.49999999999999994,0.8660254037844387
2,18627.02,18627.02,0.0,0.0,0.0,False,False,False,False,True,0.0,-18627.02,0.49999999999999994,0.8660254037844387
2,18627.02,18627.02,0.0,147251.58,165878.6,False,True,False,False,False,0.0,1.8189894035458565e-11,0.49999999999999994,0.8660254037844387
3,10539.37,10539.37,0.0,0.0,0.0,False,False,False,False,True,0.0,-10539.37,0.7071067811865476,0.7071067811865476
3,10539.37,10539.37,0.0,0.0,10539.37,False,True,False,False,False,0.0,0.0,0.7071067811865476,0.7071067811865476
3,22877.0,22877.0,0.0,0.0,0.0,False,False,False,False,True,0.0,-22877.0,0.7071067811865476,0.7071067811865476
3,22877.0,22877.0,0.0,0.0,22877.0,False,True,False,False,False,0.0,0.0,0.7071067811865476,0.7071067811865476
4,10000000.0,12900000.0,2930418.44,0.0,0.0,False,False,False,False,True,30418.43999999948,-10000000.0,0.8660254037844386,0.5000000000000001
4,10000000.0,10000000.0,0.0,0.0,9941904.21,False,True,False,False,False,0.0,-58095.789999999106,0.8660254037844386,0.5000000000000001
4,2930418.44,2930418.44,0.0,0.0,0.0,False,False,False,False,True,0.0,-2930418.44,0.8660254037844386,0.5000000000000001
4,2930418.44,2930418.44,0.0,3616012.1,6963508.84,False,True,False,False,False,0.0,417078.2999999998,0.8660254037844386,0.5000000000000001
4,169941.73,169941.73,0.0,0.0,0.0,False,False,False,False,True,0.0,-169941.73,0.8660254037844386,0.5000000000000001
4,169941.73,169941.73,0.0,0.0,169941.73,False,True,False,False,False,0.0,0.0,0.8660254037844386,0.5000000000000001
4,13707.11,13707.11,0.0,0.0,0.0,False,False,False,False,True,0.0,-13707.11,0.8660254037844386,0.5000000000000001
4,13707.11,13707.11,0.0,0.0,13707.11,False,True,False,False,False,0.0,0.0,0.8660254037844386,0.5000000000000001
4,86070.17,86070.17,0.0,0.0,0.0,False,False,False,False,True,0.0,-86070.17,0.8660254037844386,0.5000000000000001
4,86070.17,86070.17,0.0,0.0,86070.17,False,True,False,False,False,0.0,0.0,0.8660254037844386,0.5000000000000001
5,120074.73,120074.73,0.0,0.0,0.0,False,False,False,False,True,0.0,-120074.73,0.9659258262890683,0.25881904510252074
5,120074.73,120074.73,0.0,0.0,120074.73,False,True,False,False,False,0.0,0.0,0.9659258262890683,0.25881904510252074
5,60726.57,60726.57,0.0,0.0,0.0,False,False,False,False,True,0.0,-60726.57,0.9659258262890683,0.25881904510252074
5,60726.57,60726.57,0.0,13000000.0,13100000.0,False,True,False,False,False,0.0,39273.43,0.9659258262890683,0.25881904510252074
5,10119.47,10119.47,0.0,0.0,0.0,False,False,False,False,True,0.0,-10119.47,0.9659258262890683,0.25881904510252074
5,10119.47,10119.47,0.0,0.0,10119.47,False,True,False,False,False,0.0,0.0,0.9659258262890683,0.25881904510252074
6,33332.86,33332.86,0.0,0.0,0.0,False,False,False,False,True,0.0,-33332.86,1.0,6.123233995736766e-17
6,33332.86,33332.86,0.0,31002.0,0.0,False,True,False,False,False,0.0,-64334.86,1.0,6.123233995736766e-17
6,25975.86,25975.86,0.0,0.0,0.0,False,False,False,False,True,0.0,-25975.86,1.0,6.123233995736766e-17
6,25975.86,25975.86,0.0,98152.0,28041.27,False,True,False,False,False,0.0,-96086.59,1.0,6.123233995736766e-17
6,26768.5,26768.5,0.0,0.0,0.0,False,False,False,False,True,0.0,-26768.5,1.0,6.123233995736766e-17
6,26768.5,26768.5,0.0,101976.0,128744.5,False,True,False,False,False,0.0,0.0,1.0,6.123233995736766e-17
6,30521.02,30521.02,0.0,0.0,0.0,False,False,False,False,True,0.0,-30521.02,1.0,6.123233995736766e-17
6,30521.02,30521.02,0.0,0.0,30521.02,False,True,False,False,False,0.0,0.0,1.0,6.123233995736766e-17
6,216422.0,216422.0,0.0,0.0,0.0,False,False,False,False,True,0.0,-216422.0,1.0,6.123233995736766e-17
6,216422.0,216422.0,0.0,10097.0,48630.5,False,True,False,False,False,0.0,-177888.5,1.0,6.123233995736766e-17
6,17320.91,17320.91,0.0,0.0,0.0,False,False,False,False,True,0.0,-17320.91,1.0,6.123233995736766e-17
6,17320.91,17320.91,0.0,6244.44,0.0,False,True,False,False,False,0.0,-23565.35,1.0,6.123233995736766e-17
6,17246.0,17246.0,0.0,0.0,101717.84,False,False,False,False,True,0.0,84471.84,1.0,6.123233995736766e-17
6,17246.0,17246.0,0.0,0.0,17246.0,False,True,False,False,False,0.0,0.0,1.0,6.123233995736766e-17
6,10565.0,10565.0,0.0,0.0,0.0,False,False,False,False,True,0.0,-10565.0,1.0,6.123233995736766e-17
6,10565.0,10565.0,0.0,36275.0,24380.72,False,True,False,False,False,0.0,-22459.28,1.0,6.123233995736766e-17
6,10224.0,10224.0,0.0,0.0,0.0,False,False,False,False,True,0.0,-10224.0,1.0,6.123233995736766e-17
6,10224.0,10224.0,0.0,0.0,10224.0,False,True,False,False,False,0.0,0.0,1.0,6.123233995736766e-17
6,85354.69,85354.69,0.0,0.0,0.0,False,False,False,False,True,0.0,-85354.69,1.0,6.123233995736766e-17
6,85354.69,85354.69,0.0,11170.0,10612.55,False,True,False,False,False,0.0,-85912.14,1.0,6.123233995736766e-17
6,13704.0,13704.0,0.0,0.0,1658746.09,False,False,False,False,True,0.0,1645042.09,1.0,6.123233995736766e-17
6,13704.0,13704.0,0.0,3382.84,143675.35,False,True,False,False,False,0.0,126588.51000000001,1.0,6.123233995736766e-17
7,262434.54,262434.54,0.0,0.0,0.0,False,False,False,False,True,0.0,-262434.54,0.9659258262890683,-0.25881904510252063
7,262434.54,262434.54,0.0,19525.79,438233.86,False,True,False,False,False,0.0,156273.53000000003,0.9659258262890683,-0.25881904510252063
7,21729.0,21729.0,0.0,0.0,0.0,False,False,False,False,True,0.0,-21729.0,0.9659258262890683,-0.25881904510252063
